jednostka,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
POLSKA,,,,,,,,,,,,,,,,42.43,70.24,67.35
MAŁOPOLSKIE,,,,,,,,,,,,,,,,37.32,69.17,66.98
ŚLĄSKIE,,,,,,,,,,,,,,,,32.91,66.92,61.32
LUBUSKIE,,,,,,,,,,,,,,,,40.36,61.55,72.15
WIELKOPOLSKIE,,,,,,,,,,,,,,,,43.35,70.88,68.32
ZACHODNIOPOMORSKIE,,,,,,,,,,,,,,,,35.12,57.26,52.01
DOLNOŚLĄSKIE,,,,,,,,,,,,,,,,34.96,66.95,61.18
OPOLSKIE,,,,,,,,,,,,,,,,38.28,64.75,70.52
KUJAWSKO-POMORSKIE,,,,,,,,,,,,,,,,53.31,82.16,65.52
POMORSKIE,,,,,,,,,,,,,,,,53.99,79.03,74.35
WARMIŃSKO-MAZURSKIE,,,,,,,,,,,,,,,,54.68,79.01,80.58
ŁÓDZKIE,,,,,,,,,,,,,,,,43.36,60.38,63.6
ŚWIĘTOKRZYSKIE,,,,,,,,,,,,,,,,45.63,70.52,65.11
LUBELSKIE,,,,,,,,,,,,,,,,50.34,77.36,72.61
PODKARPACKIE,,,,,,,,,,,,,,,,48.76,79.41,75.67
PODLASKIE,,,,,,,,,,,,,,,,51.94,79.54,74.56
MAZOWIECKIE,,,,,,,,,,,,,,,,38.96,66.86,67.7
