jednostka,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,1995,1996,1997,1998,1999,2000
POLSKA,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,
MAŁOPOLSKIE,1.6,1.1,0.1,0.2,-0.2,0.4,0.4,0.4,,,0.3,0.9,0.5,0.1,0.5,1.3,2.8,1.8,0.3,-0.2,-0.2,0.7,1.9,1.5
ŚLĄSKIE,-1.9,-1.3,-0.7,-0.6,-0.8,-0.9,-1.3,-1.4,-0.4,-0.3,-0.2,-0.8,-0.9,-1.6,-1.6,-1.1,-1.3,-1.0,-1.1,-1.1,-0.9,-1.2,-1.1,-2.5
LUBUSKIE,-1.2,-1.6,-1.9,-1.0,-1.7,-3.0,-3.4,-3.5,-4.0,-3.5,-3.3,-4.9,-4.4,-3.9,-4.9,-5.7,-5.6,-5.5,-1.2,-0.9,-0.5,-1.0,-2.0,-0.8
WIELKOPOLSKIE,-1.3,-1.5,-1.3,-1.5,-1.2,-1.3,-2.2,-2.1,-3.2,-1.8,-1.4,-1.7,-1.8,-1.8,-1.5,-2.6,-3.9,-3.6,-0.6,-0.9,-0.5,-0.6,-0.7,-1.2
ZACHODNIOPOMORSKIE,,-1.0,-1.3,0.1,-0.5,-0.1,0.7,,-0.9,-1.7,-2.0,-1.8,-1.8,-2.5,-2.8,-2.5,-2.8,-2.0,0.7,0.8,0.8,-0.1,-1.2,0.4
DOLNOŚLĄSKIE,0.3,-0.1,-0.3,0.3,0.6,0.3,0.3,-0.8,-1.0,-0.7,-0.6,-0.7,-0.5,0.7,-0.2,0.3,0.3,1.0,0.4,0.0,0.4,0.4,0.4,-0.1
OPOLSKIE,-0.4,-0.6,-1.1,-2.0,-1.8,-2.6,-2.6,-1.7,-3.9,-3.6,-4.2,-3.8,-4.1,-3.1,-2.5,-3.5,-3.5,-4.3,-0.3,0.4,-0.7,-1.9,-2.2,-0.8
KUJAWSKO-POMORSKIE,-1.4,-1.7,-1.7,-2.4,-3.1,-4.7,-5.0,-3.5,-4.2,-4.8,-3.8,-3.8,-4.2,-5.7,-5.6,-4.5,-4.5,-5.1,-1.5,-0.8,-0.9,-1.1,-2.1,-0.9
POMORSKIE,0.7,0.3,0.3,0.2,-0.6,-0.3,-0.6,-0.5,-0.3,0.1,0.4,0.9,0.6,-1.0,-0.1,1.1,2.2,1.5,1.2,1.2,1.3,0.7,1.3,1.2
WARMIŃSKO-MAZURSKIE,-1.2,-1.6,-2.0,-1.8,-2.2,-2.8,-3.4,-3.1,-1.4,-2.4,-3.4,-5.2,-4.7,-4.7,-4.7,-5.1,-6.0,-6.8,-0.7,-0.9,-1.0,-1.7,-1.9,-1.1
ŁÓDZKIE,0.3,0.7,0.1,-0.3,-0.4,-0.2,-0.3,-0.1,-0.5,-0.7,-1.1,-0.8,-1.6,-1.2,-0.6,-1.0,-1.4,-1.4,-0.2,-0.7,-0.3,-0.3,0.0,0.8
ŚWIĘTOKRZYSKIE,-0.8,0.5,0.8,0.3,0.1,-1.3,-1.3,-0.4,-0.2,-1.1,-1.8,-0.8,0.6,-1.1,-2.6,-1.4,-1.8,-1.9,-1.9,-1.2,-1.2,-1.8,-0.8,-1.0
LUBELSKIE,0.4,1.2,0.9,0.4,0.3,-0.8,-0.2,,-0.2,-0.6,-0.9,-0.5,-0.1,-0.1,-0.7,-1.6,-2.8,-2.0,-0.5,-1.0,-1.0,-0.4,0.3,0.2
PODKARPACKIE,-1.4,-1.1,-1.2,-2.2,-2.4,-2.4,-2.3,-1.5,-0.3,-1.6,-2.8,-2.8,-2.6,-3.2,-2.4,-1.5,-2.0,-2.7,-1.5,-1.6,-1.2,-0.6,-0.6,-1.0
PODLASKIE,0.8,0.8,0.4,-0.1,,0.4,0.3,0.2,0.1,-0.2,0.4,0.1,0.2,0.5,,0.3,0.4,1.1,-0.4,-0.9,-1.2,-0.5,0.8,0.9
MAZOWIECKIE,3.2,3.2,3.5,4.6,5.8,6.6,7.2,6.8,6.8,7.8,7.5,7.7,8.1,9.2,9.1,8.8,9.4,9.9,3.0,3.5,3.1,3.0,2.7,2.6
