index,Blue_mid,Red_mid,Gray_mid
2001,0.34705780684595905,0.21335118392788066,0.4395910092261603
2002,0.6231344237484853,0.16605226425609587,0.21081331199541883
2003,0.5709087263796301,0.20178938399077737,0.22730188962959252
2004,0.5188330007022945,0.31201717249068567,0.1691498268070198
2005,0.5695570366340224,0.2833129307217991,0.14713003264417843
2006,0.4771943209250911,0.32426916297964875,0.1985365160952601
2007,0.3138204678965268,0.44928214113002324,0.23689739097344992
2008,0.24628511972422404,0.5211594577394999,0.232555422536276
2009,0.2391192027745306,0.48616771185181834,0.27471308537365097
2010,0.242826975193092,0.545264749652567,0.21190827515434105
2011,0.20630345407692866,0.5537140265963786,0.23998251932669273
2012,0.21225621556701646,0.5218139175774883,0.26592986685549524
2013,0.24477410258777735,0.43273786754953303,0.32248802986268965
2014,0.3247139136240115,0.3820628308681794,0.2932232555078092
2015,0.4333484043974841,0.40104435792812215,0.16560723767439375
2016,0.48425587992593894,0.35403230110475686,0.1617118189693041
2017,0.5278495738477339,0.3029027516148031,0.16924767453746292
2018,0.4476060886324974,0.27586704016430347,0.2765268712031992
2019,0.47694001588270846,0.3143732183366185,0.2086867657806731
