,PiS,Komitet Wyborczy - Akcja Wyborcza Solidarność Prawicy,Komitet Wyborczy Alternatywa Ruch Społeczny,LPR,PSL,Komitet Wyborczy Polskiej Partii Socjalistycznej,Komitet Wyborczy Polskiej Unii Gospodarczej,Komitet Wyborczy Polskiej Wspólnoty Narodowej,Komitet Wyborczy Polskiej Wspłlnoty Narodowej,Samoobrona,SLD,Komitet Wyborczy Unii Wolności,"Komitet Wyborczy Wyborców ""Mniejszość Niemiecka""","Komitet Wyborczy Wyborców ""Niemiecka Mniejszość Górnego śląska""","Komitet Wyborczy Wyborcłw ""Mniejszołł Niemiecka""","Komitet Wyborczy Wyborcłw ""Niemiecka Mniejszołł Głrnego łlłska""",PO
Polska,1236787.0,729207.0,54266,1025148,1168659,13459.0,7189.0,2644.0,,1327624,5342519,404074.0,47230.0,8024.0,,,1651099.0
wielkopolskie,79549.0,51760.0,3731,81008,107862,,1714.0,,271.0,126610,548472,34221.0,,,,,150489.0
śląskie,155427.0,142534.0,10751,78242,66567,1968.0,1272.0,,,116227,750589,63339.0,,,4890.0,8024.0,223419.0
lubuskie,17672.0,18695.0,1172,16978,23382,799.0,1434.0,,,29957,160790,10492.0,,,,,30622.0
opolskie,16576.0,11387.0,1273,20574,15802,,,,1161.0,34236,120778,9596.0,,,42340.0,,37203.0
zachodniopomorskie,35776.0,22741.0,1670,28733,21172,568.0,,,,81632,268734,20659.0,,,,,63505.0
mazowieckie,276893.0,86335.0,6038,143719,198686,2143.0,237.0,,616.0,157924,644961,71550.0,,,,,255252.0
kujawsko-pomorskie,48183.0,30918.0,1697,52926,55925,666.0,1430.0,,,72230,327913,16426.0,,,,,62160.0
lubelskie,58632.0,32616.0,3063,81413,147589,1179.0,,,,111651,266191,14530.0,,,,,56891.0
warmińsko-mazurskie,30474.0,14423.0,1385,32716,33618,836.0,,,,46935,201840,15519.0,,,,,46911.0
dolnośląskie,77048.0,45201.0,4485,67520,51833,,,,,96466,464513,39147.0,,,,,136806.0
świętokrzyskie,29066.0,15885.0,4121,26940,65039,1992.0,,,,55284,194585,7784.0,,,,,30909.0
małopolskie,141948.0,86230.0,4912,124701,108565,,,,,90523,338008,41556.0,,,,,187768.0
pomorskie,93543.0,34187.0,2059,51675,31380,,,,,58574,265576,20593.0,,,,,189417.0
łódzkie,68162.0,43942.0,3165,68424,91446,2819.0,,,596.0,121659,411496,20176.0,,,,,87576.0
podkarpackie,62076.0,72903.0,3899,102700,106205,,,,,79841,227314,11048.0,,,,,58693.0
podlaskie,45762.0,19450.0,845,46879,43588,489.0,1102.0,,,47875,150759,7438.0,,,,,33478.0
