"Kod TERYT";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"KOMITET WYBORCZY AKCJA ZAWIEDZIONYCH EMERYTÓW RENCISTÓW - ZPOW-601-21/19";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"KOMITET WYBORCZY PRAWICA - ZPOW-601-20/19";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"KOMITET WYBORCZY SKUTECZNI PIOTRA LIROYA-MARCA - ZPOW-601-17/19";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"KOMITET WYBORCZY WYBORCÓW KOALICJA BEZPARTYJNI I SAMORZĄDOWCY - ZPOW-601-10/19";"KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA - ZPOW-601-15/19"
"020000";"dolnośląskie";"2064455";"2273741";"678993";"1385430";"1537";"19372";"163";"157";"10";"2";"0";"0";"145";"1385326";"145";"211";"1385115";"15222";"9573";"5649";"0";"1369893";"413632";"";"89440";"93803";"";"525007";"";"206861";"41150";""
"040000";"kujawsko-pomorskie";"1454943";"1591637";"530107";"924810";"1055";"8840";"141";"139";"6";"0";"0";"0";"133";"924815";"133";"76";"924739";"12427";"8303";"4124";"0";"912312";"262370";"";"61031";"90722";"";"350198";"";"136839";"11152";""
"060000";"lubelskie";"1553336";"1685683";"575481";"977839";"1734";"8190";"97";"96";"6";"0";"1";"0";"89";"977816";"89";"52";"977764";"10849";"6706";"4143";"0";"966915";"168586";"";"63451";"99078";"";"552086";"";"71556";"12158";""
"080000";"lubuskie";"713950";"776935";"269383";"444548";"465";"3003";"51";"51";"3";"0";"0";"0";"48";"444492";"48";"64";"444428";"6511";"4369";"2142";"0";"437917";"136955";"";"31490";"50943";"";"150188";"";"68341";"";""
"100000";"łódzkie";"1788362";"1945553";"552345";"1235956";"1344";"6872";"126";"121";"2";"1";"0";"0";"118";"1235783";"118";"157";"1235626";"13521";"8343";"5178";"0";"1222105";"297258";"";"78108";"102352";"";"560634";"";"176570";"7183";""
"120000";"małopolskie";"2437571";"2664794";"737483";"1699905";"2045";"24325";"235";"231";"5";"0";"1";"0";"225";"1699859";"225";"201";"1699658";"16870";"9996";"6874";"0";"1682788";"370579";"";"124631";"145751";"1765";"876381";"";"154467";"9214";""
"140000";"mazowieckie";"4235532";"4559545";"1066863";"3168454";"3228";"49586";"366";"350";"25";"3";"0";"0";"325";"3167642";"325";"543";"3167099";"27979";"15327";"12652";"0";"3139120";"935365";"1412";"212037";"261664";"";"1283424";"2503";"416349";"26366";""
"160000";"opolskie";"719838";"779536";"307303";"412525";"468";"2414";"29";"29";"0";"0";"0";"0";"29";"412469";"29";"17";"412452";"6013";"4104";"1909";"0";"406439";"108570";"";"23176";"41901";"";"152999";"";"47699";"";"32094"
"180000";"podkarpackie";"1555934";"1689980";"566047";"989880";"1616";"11314";"72";"71";"3";"0";"0";"0";"68";"989833";"67";"26";"989807";"10440";"6470";"3970";"0";"979367";"146949";"";"75215";"76523";"";"614756";"3530";"62394";"";""
"200000";"podlaskie";"848752";"922518";"323189";"525568";"895";"3680";"62";"62";"2";"1";"1";"0";"58";"525560";"58";"17";"525543";"4965";"2770";"2195";"0";"520578";"109527";"1775";"36207";"48566";"";"270888";"2272";"47342";"4001";""
"220000";"pomorskie";"1626609";"1766815";"505248";"1121527";"1025";"15863";"199";"198";"17";"3";"0";"0";"178";"1121304";"178";"89";"1121215";"11664";"6910";"4754";"0";"1109551";"426692";"";"80517";"77335";"";"381335";"";"143672";"";""
"240000";"śląskie";"3229184";"3493546";"1054070";"2175057";"2357";"13707";"231";"226";"11";"2";"0";"2";"211";"2174815";"211";"80";"2174735";"21415";"12591";"8824";"0";"2153320";"648003";"";"152297";"128455";"";"906339";"";"296396";"21830";""
"260000";"świętokrzyskie";"927566";"998797";"351202";"576353";"899";"4587";"33";"32";"0";"0";"1";"0";"31";"576308";"31";"32";"576276";"6385";"4016";"2369";"0";"569891";"94880";"";"33895";"56289";"";"314455";"8273";"56699";"5400";""
"280000";"warmińsko-mazurskie";"1016682";"1104158";"424618";"592017";"657";"5576";"53";"52";"6";"1";"1";"1";"43";"592017";"43";"23";"591994";"9491";"6359";"3132";"0";"582503";"159100";"";"37321";"71077";"";"231238";"2340";"75108";"6319";""
"300000";"wielkopolskie";"2462668";"2699121";"763163";"1699464";"1466";"11382";"168";"165";"8";"1";"2";"0";"154";"1699241";"154";"177";"1699064";"23293";"15548";"7745";"0";"1675771";"526068";"2261";"111134";"173625";"";"616729";"";"245954";"";""
"320000";"zachodniopomorskie";"1189478";"1301197";"436263";"753202";"875";"14099";"78";"77";"6";"2";"0";"1";"69";"753082";"69";"140";"752942";"10702";"7168";"3534";"0";"742240";"255821";"";"47003";"60439";"";"265278";"";"113699";"";""
