,jednostka,Blue,Red,Gray
0,Polska,4758218.0,1651099.0,1266093.0
1,wielkopolskie,395029.0,150489.0,91697.0
2,śląskie,416463.0,223419.0,232778.0
3,lubuskie,87989.0,30622.0,32592.0
4,opolskie,87188.0,37203.0,65757.0
5,zachodniopomorskie,167313.0,63505.0,45638.0
6,mazowieckie,777222.0,255252.0,166919.0
7,kujawsko-pomorskie,229264.0,62160.0,51137.0
8,lubelskie,399285.0,56891.0,51388.0
9,warmińsko-mazurskie,143743.0,46911.0,32163.0
10,dolnośląskie,292867.0,136806.0,88833.0
11,świętokrzyskie,176329.0,30909.0,29782.0
12,małopolskie,465737.0,187768.0,132698.0
13,pomorskie,235172.0,189417.0,56839.0
14,łódzkie,349691.0,87576.0,70698.0
15,podkarpackie,350822.0,58693.0,87850.0
16,podlaskie,184104.0,33478.0,29324.0
