województwo,Blue,Red,Gray
DOLNOŚLĄSKIE,708250.0,620493.0,41150.0
KUJAWSKO-POMORSKIE,501951.0,399209.0,11152.0
LUBELSKIE,714615.0,240142.0,12158.0
LUBUSKIE,232621.0,205296.0,0.0
MAZOWIECKIE,1757125.0,1351714.0,30281.0
MAŁOPOLSKIE,1146763.0,525046.0,10979.0
OPOLSKIE,218076.0,156269.0,32094.0
PODKARPACKIE,766494.0,209343.0,3530.0
PODLASKIE,355661.0,156869.0,8048.0
POMORSKIE,539187.0,570364.0,0.0
WARMIŃSKO-MAZURSKIE,339636.0,234208.0,8659.0
WIELKOPOLSKIE,901488.0,772022.0,2261.0
ZACHODNIOPOMORSKIE,372720.0,369520.0,0.0
ŁÓDZKIE,741094.0,473828.0,7183.0
ŚLĄSKIE,1187091.0,944399.0,21830.0
ŚWIĘTOKRZYSKIE,404639.0,151579.0,13673.0
